Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15
03/06/2022 15:50:00,0,0,0,0,0,1.609782,1.711593,1.796438,1.505086,1.617916,1.694408,1.581354,1.542874,1.620371,1.488784,1.707431,1.778073,1.965802,1.877482,1.736155,1.103299,1.320987,1.306809,1.113952,1.312248,1.234348,1.288475,1.207843,1.204701,1.127628,1.376984,1.426646,1.531726,1.466764,1.392456,0.2660095,0.2679886,0.3329574,0.2776005,0.2556493,0.2641173,0.2546625,0.2959795,0.2199135,0.2272629,0.2251313,0.2806696,0.3088293,0.2876189,0.2809813,0.453864,0.492384,0.5115054,0.4298146,0.4696533,0.4825711,0.4594301,0.4449804,0.4630969,0.4268674,0.4951159,0.5151154,0.5664788,0.5412837,0.5029345,0.6834875,0.7734994,0.7297008,0.7388636,0.8112741,0.729811,0.813751,0.7818862,0.743399,0.7580633,0.8080609,0.8054981,0.7810262,0.7830054,0.8043709,0.01849111,0,0.001880194,0.007455308,0.07228535,0.04876875,0.1689229,0.04312439,0.04192066,0.01069715,0.005668182,0.06242006,0.08780796,0.04115059,0.0597824,0,0.03574835,0.01994359,0.01471839,0.1780791,0.01382694,0.003071968,0.1719279,0.005461629,0.005395563,0.01068685,0.01059277,0.006402026,0,0.05746882,1273,1736,2460,1357,1787,2160,1264,715,1335,915,2285,2494,2254,1942,2576,1347,1692,2630,1378,1913,2529,1564,989,1575,964,2460,2619,2617,1809,2603,10.12555,14.51416,22.21692,13.99826,11.84941,13.60277,11.23646,9.452213,13.69195,7.805964,22.12859,19.97174,24.966,17.71771,22.38525,12.9285,17.37774,25.51543,16.57786,14.93184,17.27143,13.72145,11.18413,16.39566,10.09597,25.25248,22.8493,27.77467,20.54913,25.37227
03/06/2022 16:50:00,0,0,0,0,0,1.236226,1.317579,1.363607,1.171987,1.265784,1.40721,1.264747,1.364416,1.324124,1.345311,1.378995,1.428547,1.812073,1.287777,1.444198,0.8005036,0.9221404,0.9586858,0.8211705,0.9231983,1.004216,0.9640735,1.026381,0.9909312,1.058579,1.181863,1.243842,1.552115,0.9837652,1.195001,0.2003277,0.183972,0.2559345,0.2478517,0.1839995,0.2242661,0.2041651,0.2381617,0.169191,0.184918,0.200505,0.2685627,0.3635684,0.2567986,0.282702,0.3454394,0.372748,0.386057,0.3316209,0.3605706,0.3993888,0.3630379,0.3907405,0.3788606,0.3883595,0.4045056,0.4203357,0.5314811,0.3697904,0.4207954,0.6480845,0.698355,0.7001964,0.7001242,0.7292746,0.7133158,0.7612704,0.7497768,0.7489868,0.7847692,0.8576661,0.8684275,0.8566513,0.7644249,0.8282288,0.02355954,0,0.02374043,0.00857547,0.1006169,0.09243876,0.235111,0.06312233,0.09622777,0.07020327,0.1083944,0.2299978,0.3080857,0.05624374,0.1768597,0,0.04360973,0.02908329,0.01757809,0.2113955,0.0239563,0.003479009,0.2068169,0.005554199,0.005523682,0.02846448,0.101634,0.0736295,0,0.09429954,32,164,215,66,71,202,117,118,186,370,484,1318,2103,59,759,47,111,203,38,52,117,109,236,210,581,318,570,2135,69,1001,12.8025,21.8129,32.6962,19.70856,20.32231,23.85226,17.77726,11.21939,17.96947,10.40419,34.66137,47.27002,58.74403,24.59154,45.8323,17.44195,27.62186,39.73244,23.86001,26.339,31.98309,22.31016,13.7557,22.76534,14.71076,41.46645,55.07174,67.44915,30.21268,54.70082
03/06/2022 17:50:00,0,0,0,0,0,1.246499,1.425117,1.427132,1.262701,1.164846,1.431254,1.453005,1.392292,1.361848,1.217055,1.347802,1.454234,1.333373,1.51639,1.236087,0.8420111,1.011468,1.178163,0.9502262,0.8573208,1.073586,1.194017,1.147738,1.111542,1.015443,1.20969,1.224936,1.095056,1.237667,1.028909,0.1085432,0.07128792,0.153432,0.1632624,0.08729085,0.1178052,0.1372304,0.1584361,0.09028866,0.1050503,0.1337186,0.1569074,0.2129342,0.1668471,0.1667768,0.350623,0.4041041,0.4156425,0.3616353,0.3323314,0.4096775,0.4228126,0.4053854,0.3957846,0.3551696,0.3989763,0.4251549,0.3879574,0.4406971,0.3605635,0.6733937,0.7076105,0.8286057,0.7532842,0.7362848,0.7508668,0.8179363,0.8247427,0.8167812,0.8345604,0.897521,0.8377354,0.8210442,0.8159872,0.8312479,0.02355954,0.01081853,0.2445436,0.04300031,0.1006169,0.1390469,0.502578,0.1429656,0.2267735,0.1697732,0.3087246,0.2846541,0.3476893,0.09451712,0.2192834,0,0.04372286,0.08501621,0.02102101,0.2113955,0.0258173,0.09766312,0.3559007,0.01100948,0.009960899,0.1217932,0.1191262,0.08267211,0.01947377,0.09429954,224,516,577,424,15,755,671,168,257,255,533,1143,228,680,161,166,486,672,267,15,828,706,283,445,348,534,889,277,744,228,13.22649,22.28634,37.37725,21.50479,20.36341,28.15702,20.92896,12.64628,20.38606,13.84338,39.3646,54.38643,67.0369,27.45812,48.2536,18.57428,28.71079,46.52626,26.66557,26.73593,38.83789,26.82417,16.25263,26.21551,19.98406,48.28838,63.74493,78.91186,34.74299,58.61055
03/06/2022 18:50:00,0,0,0,0,0,1.166865,1.459665,1.360675,1.299058,1.379144,1.321626,1.162077,1.316777,1.43327,1.189081,1.170282,1.614634,1.576015,1.323539,1.343202,0.773727,1.231809,1.164254,1.031399,1.025319,1.007947,0.9510072,1.094453,1.258793,1.08073,1.054838,1.494016,1.436252,1.150751,1.199364,0.0532732,0.02598805,0.09392166,0.102141,0.05176301,0.05169807,0.08534111,0.09975401,0.06207315,0.057375,0.08587698,0.1497153,0.1484343,0.1126086,0.1059741,0.3272615,0.4268951,0.3990052,0.3756188,0.3941525,0.3793992,0.3378935,0.3839931,0.4224445,0.3528875,0.3467238,0.4809391,0.4679743,0.3893278,0.3972034,0.6637691,0.844899,0.8556635,0.7907805,0.7418885,0.7611564,0.8182234,0.8305002,0.879527,0.9113177,0.9016792,0.9250746,0.9141185,0.8689908,0.8960987,0.02355954,0.2813872,0.3461132,0.1560555,0.1358575,0.1681063,0.7195405,0.2222645,0.3789272,0.3158538,0.3726191,0.6313101,0.5518964,0.2023213,0.3503495,0,0.06695426,0.09057619,0.0740241,0.219374,0.03182252,0.200592,0.5070495,0.03766797,0.0112915,0.157013,0.2582862,0.1112636,0.05659036,0.09752111,60,1266,439,299,234,250,80,76,351,113,102,2555,991,161,228,58,1490,474,267,264,250,31,274,493,225,69,2071,1015,218,386,13.44274,39.88387,39.96964,23.5051,20.61767,30.25713,24.30234,14.12544,22.93438,14.75111,41.39319,85.90206,74.11782,31.08831,50.07853,19.35599,49.84941,50.70838,29.87259,27.40381,42.43039,31.4042,18.42781,30.28003,21.91499,51.44887,99.91433,89.34162,40.4482,62.106
03/06/2022 19:50:00,0,0,0,0,0,1.436601,1.274651,1.475837,1.303302,1.272995,1.354456,1.276826,1.419761,1.537231,1.394176,1.388434,1.366213,1.440618,1.350623,1.390398,1.041117,1.091711,1.257661,1.151752,1.040285,1.044957,1.065933,1.208462,1.362104,1.274488,1.239449,1.270339,1.305675,1.258008,1.250265,0.04527112,0.000470206,0.0679521,0.07745152,0.04119219,0.02952156,0.05748834,0.09609612,0.05586611,0.05135743,0.06716193,0.112993,0.1047145,0.07883669,0.0767269,0.4087871,0.3738498,0.4324348,0.3846091,0.3700456,0.3896181,0.3726535,0.4159102,0.4538828,0.4142418,0.4105589,0.4073544,0.4272931,0.4028497,0.411741,0.7258714,0.8562379,0.8489974,0.8828053,0.8182701,0.7700939,0.8326727,0.8528378,0.8851845,0.9148083,0.8937243,0.9292244,0.9050664,0.932363,0.8991871,0.08980723,0.3349862,0.4723821,0.5512916,0.3321369,0.2236507,0.7578201,0.3042032,0.5358853,0.4502077,0.4464664,0.6934938,0.6794361,0.3084181,0.4533565,0,0.0695193,0.1008301,0.2999045,0.3575479,0.04354861,0.2740471,0.5070495,0.08420374,0.0112915,0.157013,0.2648014,0.1188959,0.132019,0.09777866,413,155,283,472,78,229,453,151,473,355,391,368,332,249,261,547,130,315,477,78,347,278,404,655,527,413,356,466,209,371,15.10548,47.28476,41.10373,27.09577,22.20156,31.10529,24.79253,15.81061,26.19628,16.81461,42.32395,103.4932,77.19315,31.74297,51.22465,22.45794,58.77559,53.22531,35.15076,29.95289,44.48255,32.83117,21.63656,35.35395,25.27676,53.88507,120.8586,94.44875,42.11689,64.61501
03/06/2022 20:50:00,0,0,0,0,0,1.859038,1.859571,1.856294,1.598544,1.608755,1.536296,1.479965,1.796281,1.953541,1.685747,1.656761,1.675108,1.850169,1.816502,1.649331,1.465638,1.572094,1.665935,1.47508,1.407733,1.306417,1.3161,1.572224,1.727311,1.550629,1.573119,1.606968,1.715001,1.688027,1.557063,0.0862687,0.04149985,0.09749371,0.08911678,0.07295046,0.05154573,0.07862491,0.1301803,0.1078951,0.07803875,0.08742419,0.1161902,0.1216448,0.1333823,0.09798786,0.5368479,0.5440382,0.5494907,0.4758781,0.4738233,0.4499665,0.437289,0.5290814,0.5765588,0.5015115,0.49615,0.5027344,0.5512984,0.5415476,0.4933276,0.7869228,0.8460953,0.8978066,0.9233904,0.8741657,0.8509372,0.8896765,0.8754,0.8855014,0.9220213,0.9507181,0.9590691,0.9276407,0.9295918,0.9454387,0.2216657,0.4699103,0.784478,0.6841457,0.4788463,0.4385858,1.130195,0.5139859,0.7190824,0.6222333,0.5893993,0.8516705,0.8797635,0.5118837,0.6508006,0.006713914,0.07001863,0.2743113,0.4472117,0.4777443,0.04692858,0.4605182,0.5430204,0.2034024,0.01468177,0.1809911,0.3780583,0.1527372,0.1426721,0.1525467,1399,1197,2151,1174,710,1016,820,989,1387,1345,1350,1271,1263,1060,977,1786,1364,2096,1621,767,1116,694,1696,1861,1649,1414,1400,1576,1111,1187,26.76284,57.18295,58.61224,38.76364,24.27884,41.9097,29.0823,25.94553,44.9432,26.96829,52.67431,114.7913,87.98543,39.45131,57.57121,37.07618,71.14314,73.81931,49.29409,33.39296,58.50801,39.74281,34.58147,57.46145,38.42736,66.63599,135.0813,108.0362,52.28728,73.7029
03/06/2022 21:50:00,0,0,0,0,0,1.725624,1.85077,1.734428,1.39667,1.469885,1.68207,1.520541,1.711241,1.953498,1.602167,1.503462,1.501843,1.84043,1.979379,1.537715,1.410502,1.610945,1.55076,1.291703,1.302804,1.471264,1.386561,1.505088,1.740097,1.508738,1.457186,1.435957,1.70522,1.818462,1.52031,0.1281636,0.07510976,0.1212576,0.1010651,0.1025832,0.09140225,0.09051696,0.1486146,0.1329517,0.1060558,0.1068913,0.130445,0.1427512,0.1453023,0.1146355,0.501642,0.5445355,0.5130312,0.415974,0.4340231,0.4953753,0.4515593,0.5045177,0.5773969,0.4789684,0.4522076,0.450416,0.5483466,0.5887171,0.464496,0.8180879,0.8700454,0.8953457,0.9245806,0.8863876,0.8738449,0.9131774,0.8780419,0.8916696,0.9419557,0.9699575,0.9556181,0.9270729,0.9189687,0.9914154,0.4527144,0.7721531,1.181721,0.8783009,0.823676,0.7179003,1.576251,0.8432305,0.9058296,0.9315247,0.7561948,1.076657,1.142486,0.8515337,1.015227,0.04534784,0.073719,0.5954816,0.7190433,0.7225302,0.3043032,0.8726712,0.6170647,0.5750667,0.05816096,0.3135464,0.585254,0.4480886,0.2478123,0.4700354,1073,1310,1482,610,375,923,766,972,1170,1191,827,776,1235,1126,781,1365,1459,1652,640,508,1279,749,1320,1529,1505,752,1005,1786,1546,833,54.79829,85.15558,92.84186,57.20127,33.58482,56.66529,34.9259,46.12055,74.65288,52.21971,69.1057,129.7752,119.4227,57.48983,69.7613,69.44554,102.8021,112.5932,71.39812,45.77316,76.70559,48.18335,58.17884,90.57568,67.15502,86.3927,153.2954,143.8435,73.73515,89.4007
03/06/2022 22:50:00,0,0,0,0,0,1.649384,1.552435,1.727547,1.547759,1.520513,1.787127,1.596512,1.458549,1.857156,1.508723,1.507597,1.663007,1.651356,2.056182,1.345169,1.440027,1.353102,1.562582,1.46023,1.387229,1.575706,1.432945,1.281723,1.684741,1.45401,1.475073,1.595039,1.544659,1.905549,1.371503,0.1065578,0.06256123,0.08750105,0.08064853,0.07729609,0.0834192,0.08789551,0.1268169,0.1154883,0.1107991,0.08758709,0.1083086,0.09972244,0.1543728,0.1019586,0.4855735,0.4568806,0.5121886,0.4628841,0.4515971,0.527148,0.4726014,0.4299436,0.5509426,0.4532407,0.4543723,0.4990813,0.4929832,0.6126571,0.4090916,0.8716722,0.8701908,0.9046603,0.9428813,0.9100611,0.8822932,0.8967783,0.877973,0.906736,0.9650965,0.9788843,0.9580989,0.9323555,0.9259303,1.020491,0.7353783,0.997925,1.488139,1.193984,1.084683,1.020344,2.16489,1.186961,1.159315,1.233089,0.8174675,1.33356,1.317421,0.9689422,1.353518,0.3282828,0.1667404,0.826459,0.9447746,0.9605169,0.4545878,1.505302,0.7530898,0.8869623,0.2191335,0.4421086,0.6830646,0.5636126,0.4690344,0.5475674,819,650,975,942,554,1896,1090,474,973,895,747,1135,1060,1335,91,939,728,1083,1038,648,2331,1017,744,1347,1098,754,1293,1341,1767,202,68.773,99.19792,106.198,63.46621,38.15892,76.25092,51.21379,64.69447,95.14152,71.54154,79.84784,139.7988,133.9489,81.78857,74.96798,86.66157,119.6096,129.3281,79.88062,52.13435,100.3741,68.12652,79.85642,114.1614,89.64389,99.57917,165.9023,161.3475,101.7941,96.66992
03/06/2022 23:50:00,0,0,0,0,0,1.63341,1.3007,1.702712,1.517519,1.563736,1.485034,1.316314,1.288088,1.92226,1.485306,1.501391,1.851258,1.876674,1.926782,1.731915,1.433192,1.152177,1.522794,1.423204,1.39507,1.289206,1.177966,1.131431,1.7428,1.452502,1.472955,1.764683,1.789217,1.816065,1.723641,0.1452016,0.07955214,0.1254914,0.1031395,0.1148795,0.1107002,0.09100393,0.1244484,0.137224,0.1206324,0.09547873,0.1398615,0.1463469,0.1883171,0.1701924,0.4813427,0.384022,0.503676,0.4532765,0.462338,0.4367028,0.3894253,0.379663,0.5701899,0.4476036,0.4527642,0.5548527,0.5624909,0.5761209,0.5239094,0.875095,0.8843447,0.8950188,0.9365524,0.8908499,0.8657233,0.892705,0.8766173,0.9072669,0.9779115,0.9823331,0.9534155,0.9541115,0.9425888,0.9958009,1.258146,1.176389,1.86053,1.456234,1.45997,1.129728,2.363031,1.197412,1.503768,1.535338,0.8271548,1.731122,1.727309,1.34752,1.608163,0.3446045,0.2970195,1.284611,1.155287,1.228578,0.4927055,1.539983,0.7780147,1.135377,0.3007811,0.4848804,0.9885387,0.6068119,0.619548,0.6026002,878,242,2134,687,669,796,417,132,1497,770,846,1273,2526,963,2021,1063,313,2109,663,739,929,353,264,1750,932,873,2046,2784,1422,2108,80.51122,106.2123,127.776,75.5379,45.79589,98.32314,54.34098,66.27553,123.8395,84.51542,90.06661,162.3088,164.362,104.2407,88.27788,102.0385,129.0124,155.5105,94.77024,62.69947,127.7242,72.5874,82.08804,146.2811,106.0736,112.6759,193.139,196.7318,128.4248,113.3773
03/07/2022 00:50:00,0,0,0,0,0,1.468892,1.694983,1.302869,1.718357,1.576245,1.602284,1.689849,1.609873,1.830326,1.609442,1.702035,1.864681,1.782632,2.007428,1.770709,1.288198,1.476543,1.166049,1.586423,1.443913,1.401594,1.544732,1.458985,1.655722,1.56646,1.667698,1.780676,1.689416,1.868992,1.767785,0.1257566,0.1051998,0.1234326,0.1244405,0.1218752,0.08435116,0.1161175,0.1544087,0.1582636,0.1201524,0.1067547,0.1560262,0.1642109,0.1956102,0.1797715,0.4328191,0.498779,0.3854555,0.5115978,0.468537,0.4718859,0.5020902,0.4774888,0.5426726,0.4845189,0.5131317,0.5590882,0.5336308,0.5987027,0.536012,0.8752949,0.8706663,0.8950907,0.9230825,0.9142711,0.871726,0.9140263,0.9054834,0.9056244,0.9733278,0.9799422,0.9554702,0.9476511,0.9314712,0.9984567,1.485005,1.283567,2.023983,1.792514,1.665283,1.25738,3.037264,1.460295,1.742627,1.741188,1.058914,2.071535,1.97279,1.658547,1.980113,0.3446045,0.3246769,1.453797,1.252102,1.317564,0.4927055,1.750842,0.9572545,1.299911,0.3800966,0.6411399,1.298994,0.7015108,0.9132213,0.7105707,381,1256,82,2124,626,881,1730,656,1956,844,1412,2473,2124,1765,2071,429,1402,115,2365,766,1439,1702,1088,2330,1023,1430,2199,2313,2155,2186,86.74007,115.4861,139.0998,92.24087,48.86644,103.6354,64.58375,76.56351,152.5672,91.7691,101.3086,188.8447,195.9428,126.1815,116.0005,110.4856,140.1864,170.1244,115.4917,68.11147,135.4375,86.78484,94.5421,179.6313,115.7677,128.2281,225.0042,234.5487,155.0444,146.8079
