subjectsID,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Group,,,,LowFat,LowFat,LowFat,LowFat,HighFatAdLibitum,HighFatAdLibitum,HighFatAdLibitum,HighFatAdLibitum,Early_TRF,Early_TRF,Early_TRF,Early_TRF,Late_TRF,Late_TRF,Late_TRF,Late_TRF
Date_Time_1,Expriments Times,DarkLight,EatRestrict,,,,,,,,,,,,,,,,
2022-03-20 12:00:01,2022-03-20 04:00:01,dark,Eat,2.360421,2.085562,1.776576,2.036655,2.369596,2.428337,1.598395,2.198541,,,,,,,,
2022-03-20 12:00:01,2022-03-20 04:00:01,dark,Restrict,,,,,,,,,1.871527,2.023602,2.182774,1.996704,2.022453,2.067723,2.086012,2.05324
2022-03-20 13:00:01,2022-03-20 05:00:01,dark,Eat,1.916929,1.973691,1.608379,1.901161,1.960725,2.238971,1.312516,2.1341,,,,,,,,
2022-03-20 13:00:01,2022-03-20 05:00:01,dark,Restrict,,,,,,,,,2.019062,1.642631,2.011385,1.745659,2.092548,2.046486,1.75968,1.884404
2022-03-20 14:00:01,2022-03-20 06:00:01,dark,Eat,2.3009,1.920817,1.618747,1.762921,2.078784,2.39493,1.339511,2.038536,,,,,,,,
2022-03-20 14:00:01,2022-03-20 06:00:01,dark,Restrict,,,,,,,,,1.590288,1.949586,1.822302,1.914805,1.788901,1.779783,1.705484,1.724815
2022-03-20 15:00:01,2022-03-20 07:00:01,dark,Eat,1.858474,1.866572,1.633862,1.859735,1.987613,2.292809,1.279375,2.034662,,,,,,,,
2022-03-20 15:00:01,2022-03-20 07:00:01,dark,Restrict,,,,,,,,,1.774932,1.587205,2.048507,1.690172,1.64889,2.199045,1.94396,1.81402
2022-03-20 16:00:01,2022-03-20 08:00:01,light,Eat,2.035069,1.887286,1.684131,1.633382,2.098039,2.333996,1.340271,2.275278,1.790008,1.896667,2.018182,2.084139,,,,
2022-03-20 16:00:01,2022-03-20 08:00:01,light,Restrict,,,,,,,,,,,,,1.930333,1.77756,1.68036,1.731111
2022-03-20 17:00:01,2022-03-20 09:00:01,light,Eat,2.393855,1.972374,1.790601,1.918856,2.112392,2.409988,1.397143,2.213033,1.913493,2.031421,1.984969,1.918544,,,,
