Date_Time_1,subjectsID,Group,Expriments Times,DarkLight,EatRestrict,AllMeters (m),FoodUpa (gram),Pedmeters (m),WaterUpa (gram),BodyMass (gram),bodytemp,envirolightlux,envirooccupancy,envirorh,envirosound,envirotemp,Kcal_hr (kcal/hr),RER,si13c,Co2 ml/min,Vo2 ml/min,zbreak,Locomotion (brakes)
2022-03-20 10:58:25,13,Late_TRF,2022-03-20 02:58:25,light,Restrict,3.881353,0.0,3.665904,0.05244848,27.84368,-1.0,,,,,,0.6406904,0.7453243,-1.0,1.671546,2.240407,0.0,604.0
2022-03-20 10:58:25,14,Late_TRF,2022-03-20 02:58:25,light,Restrict,3.157536,0.0,2.983716,0.01140498,33.43893,-1.0,,,,,,0.6549605,0.7474348,-1.0,1.707637,2.290627,0.0,602.0
2022-03-20 10:58:25,15,Late_TRF,2022-03-20 02:58:25,light,Restrict,2.177226,0.0,1.953085,0.0,33.64738,-1.0,,,,,,0.6070191,0.7764001,-1.0,1.63613,2.107949,0.0,514.0
2022-03-20 10:58:25,16,Late_TRF,2022-03-20 02:58:25,light,Restrict,2.123805,0.0,1.815738,0.01536133,33.24396,-1.0,,,,,,0.4471305,0.7895404,-1.0,1.222616,1.547821,0.0,534.0
2022-03-20 11:03:25,13,Late_TRF,2022-03-20 03:03:25,light,Restrict,7.024037000000001,0.0,6.600446,0.04269944,28.21836,-1.0,,,,,,0.7622819,0.7624245,-1.0,2.023933,2.655729,0.0,659.0
2022-03-20 11:03:25,14,Late_TRF,2022-03-20 03:03:25,light,Restrict,6.136569999999999,0.0,5.692094000000001,0.0105981899999999,34.07248,-1.0,,,,,,0.7896267,0.7500718,-1.0,2.066624,2.759391,0.0,456.0
2022-03-20 11:03:25,15,Late_TRF,2022-03-20 03:03:25,light,Restrict,3.774845,0.002897646,3.3320680000000005,0.0,33.64738,-1.0,,,,,,0.6669229,0.7968667,-1.0,1.836213,2.305134,0.0,407.0
2022-03-20 11:03:25,16,Late_TRF,2022-03-20 03:03:25,light,Restrict,3.144608,0.0,2.643247,0.02736329,33.24686,-1.0,,,,,,0.6178957,0.8056151,-1.0,1.717972,2.130978,0.0,355.0
2022-03-20 11:08:25,13,Late_TRF,2022-03-20 03:08:25,light,Restrict,6.17427,0.0,5.628780000000001,0.01802058,28.2697,-1.0,,,,,,0.8952683,0.7719032,-1.0,2.400132,3.112558,0.0,653.0
2022-03-20 11:08:25,14,Late_TRF,2022-03-20 03:08:25,light,Restrict,4.3201740000000015,0.0,3.86459,0.0019454999999999,35.04103,-1.0,,,,,,0.8102076,0.7552955,-1.0,2.136076,2.826937,0.0,343.0
2022-03-20 11:08:25,15,Late_TRF,2022-03-20 03:08:25,light,Restrict,1.4880389999999997,0.001222231,1.0244919999999995,0.0,33.64738,-1.0,,,,,,0.6680807,0.808102,-1.0,1.861182,2.303023,0.0,155.0
2022-03-20 11:08:25,16,Late_TRF,2022-03-20 03:08:25,light,Restrict,2.522158,0.0,1.871818,0.0,33.25268,-1.0,,,,,,0.7165269,0.7780422,-1.0,1.934739,2.48726,0.0,434.0
2022-03-20 11:13:25,13,Late_TRF,2022-03-20 03:13:25,light,Restrict,6.535429999999998,0.0,6.039959999999999,0.0065825999999999,28.27428,-1.0,,,,,,0.8143421,0.7886719,-1.0,2.223355,2.819928,0.0,388.0
2022-03-20 11:13:25,14,Late_TRF,2022-03-20 03:13:25,light,Restrict,1.9701299999999995,0.0,1.6416400000000009,0.00739287,35.06982,-1.0,,,,,,0.7660754,0.7545042,-1.0,2.017994,2.673439,0.0,166.0
2022-03-20 11:13:25,15,Late_TRF,2022-03-20 03:13:25,light,Restrict,1.5148090000000003,0.0013118499999999,1.0133680000000007,0.0,33.64738,-1.0,,,,,,0.7825285,0.8048461,-1.0,2.173169,2.699471,0.0,372.0
2022-03-20 11:13:25,16,Late_TRF,2022-03-20 03:13:25,light,Restrict,1.4941329999999995,0.0,1.1575279999999992,0.0,33.25153,-1.0,,,,,,0.6357474,0.7986692,-1.0,1.753704,2.196446,0.0,11.0
2022-03-20 11:18:25,13,Late_TRF,2022-03-20 03:18:25,light,Restrict,1.9292100000000008,0.0,1.3682700000000023,0.0010982999999999,28.27886,-1.0,,,,,,0.6999807,0.7763665,-1.0,1.885863,2.431003,0.0,243.0
2022-03-20 11:18:25,14,Late_TRF,2022-03-20 03:18:25,light,Restrict,0.6162699999999983,0.0,0.5331700000000001,0.0,35.09907,-1.0,,,,,,0.6809005,0.7417474,-1.0,1.767753,2.383458,0.0,54.0
2022-03-20 11:18:25,15,Late_TRF,2022-03-20 03:18:25,light,Restrict,2.418851,0.000580241,1.907032,0.0001114909,33.64738,-1.0,,,,,,0.7014121,0.8063893,-1.0,1.951904,2.418522,0.0,439.0
2022-03-20 11:18:25,16,Late_TRF,2022-03-20 03:18:25,light,Restrict,0.0010000000000012,0.0,0.0009490000000003,0.0,33.24338,-1.0,,,,,,0.6317137,0.7948323,-1.0,1.736414,2.184239,0.0,0.0
