Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
03/20/2022 10:58:25,0,0,0,0,0,2.779112,2.191194,1.939285,2.408452,2.534151,2.533229,1.607127,2.933505,2.103107,1.612657,1.958978,2.040133,2.240407,2.290627,2.107949,1.547821,2.118207,1.637878,1.41747,1.790507,1.828859,1.809385,1.141981,2.110764,1.572849,1.180357,1.39854,1.506771,1.671546,1.707637,1.63613,1.222616,0.3122205,0.3759089,0.12541,0.1864326,0.3761421,0.3479582,0.1995295,0.2470042,0.2610047,0.254534,0.1722359,0.128331,0.1883345,0.2033628,0.154752,0.1663395,0.797713,0.6268194,0.5526267,0.6883205,0.7205885,0.7190781,0.4558031,0.8337268,0.6016749,0.4596573,0.556027,0.5823992,0.6406904,0.6549605,0.6070191,0.4471305,0.7633596,0.7458616,0.7297122,0.7433212,0.7213333,0.7141204,0.7114378,0.7196218,0.7502165,0.7312615,0.7144038,0.7404878,0.7453243,0.7474348,0.7764001,0.7895404,0.008090025,0.03910467,0.04603451,0,0.02519696,0.02095136,0.02320437,0,0,0,0,0,0,0,0,0,0.007503257,0.009925636,0,0.004466961,0,0,0.01094909,0,0,0,0,0.004695277,0.05244848,0.01140498,0,0.01536133,31.25593,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,35.05593,36.57878,0,27.84368,33.43893,33.64738,33.24396,218,274,219,248,263,248,352,337,300,180,286,320,235,254,274,243,250,294,251,310,295,311,336,384,296,198,315,360,369,348,240,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.164741,2.25112,1.829881,2.782747,2.249547,1.828121,3.479026,3.527262,1.933911,1.761778,2.193141,3.627067,3.665904,2.983716,1.953085,1.815738,3.302784,2.491803,2.056093,3.003251,2.573759,2.152305,3.675432,3.760726,2.237095,1.930704,2.478472,3.826315,3.881353,3.157536,2.177226,2.123805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:03:25,0,0,0,0,0,2.857413,2.443335,1.988641,2.602566,2.709001,2.581178,1.568176,3.07842,2.237785,2.038082,2.427598,2.687318,2.655729,2.759391,2.305134,2.130978,2.188071,1.942488,1.555438,1.987782,2.003932,1.919849,1.165434,2.216877,1.697952,1.529382,1.80906,1.999051,2.023933,2.066624,1.836213,1.717972,0.3173292,0.4046316,0.141292,0.2115041,0.414644,0.4072199,0.2274804,0.260722,0.2980314,0.2864218,0.2059176,0.1517568,0.2390885,0.2481364,0.1813603,0.1756859,0.8208643,0.7066544,0.5734528,0.7473119,0.7735513,0.7377466,0.448149,0.8750352,0.6418226,0.5834147,0.694079,0.7681002,0.7622819,0.7896267,0.6669229,0.6178957,0.7736787,0.7945374,0.7836871,0.7635084,0.7396833,0.7437149,0.7429559,0.7202555,0.769753,0.7504843,0.7453691,0.7435683,0.7624245,0.7500718,0.7968667,0.8056151,0.02748145,0.1456344,0.1762879,0,0.07128779,0.1849394,0.07617779,0,0.0195523,0,0,0,0,0,0.002897646,0,0.04441245,0.01605224,0,0.009399418,0,0,0.03302564,0.001033936,0,0,0,0.01754088,0.09514792,0.02200317,0,0.04272462,31.27869,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,35.0572,36.57878,0,28.21836,34.07248,33.64738,33.24686,189,205,117,294,224,136,330,265,215,203,266,288,306,208,200,178,234,211,178,337,261,220,357,336,256,222,239,325,353,248,207,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.722684,5.96441,4.20048,8.152135,5.8188,4.41304,9.424088,9.032784,6.042063,4.619135,6.18151,8.686662,10.26635,8.67581,5.285153,4.458985,8.191233,6.693598,4.935987,8.805411,6.651871,5.235251,10.08104,9.717288,6.918326,5.169587,6.998553,9.355983,10.90539,9.294106,5.952071,5.268413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:08:25,0,0,0,0,0,2.864597,2.354096,2.146481,2.485111,2.896554,2.834949,1.820005,2.829489,2.396049,2.03309,2.653866,2.794301,3.112558,2.826937,2.303023,2.48726,2.221206,1.912411,1.780907,1.962591,2.186798,2.210678,1.332746,2.055275,1.832837,1.505706,1.927746,2.076191,2.400132,2.136076,1.861182,1.934739,0.3299168,0.4447524,0.1569481,0.2300258,0.4578784,0.4442696,0.2519493,0.2969822,0.3082453,0.3027047,0.2203252,0.1615238,0.2772392,0.2654758,0.190195,0.1849983,0.8247618,0.6835572,0.6257378,0.717867,0.8300352,0.8170527,0.5187994,0.8054491,0.688197,0.5806632,0.7554583,0.7985165,0.8952683,0.8102076,0.6680807,0.7165269,0.7751866,0.812755,0.8284953,0.7904944,0.7560694,0.7800741,0.7321153,0.7264103,0.7656173,0.7406612,0.7277169,0.7429243,0.7719032,0.7552955,0.808102,0.7780422,0.0469487,0.1869197,0.3083396,2.415975e-05,0.08909518,0.1973575,0.1292632,0,0.0494995,0,0,0,0,0,0.004119877,0,0.0527034,0.0982544,0.001761475,0.009399418,0.01240438,0,0.08739536,0.001342773,0,0,0,0.02637836,0.1131685,0.02394867,0,0.04272462,31.30063,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,35.02753,36.57878,0,28.2697,35.04103,33.64738,33.25268,143,173,203,220,205,123,302,242,154,125,171,194,324,151,83,212,186,191,212,227,212,163,278,289,178,135,143,203,329,192,72,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24051,8.270124,6.106198,11.99845,9.222088,7.297945,14.40541,12.64924,10.44817,6.248455,8.682768,12.26231,15.89513,12.5404,6.309645,6.330803,13.08002,9.426813,7.312251,13.2072,10.62094,8.561223,15.59584,13.86845,11.90098,7.07612,9.979724,13.47418,17.07966,13.61428,7.44011,7.790571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:13:25,0,0,0,0,0,2.91281,2.174664,2.273273,2.461732,2.399725,2.661254,1.859171,2.707695,2.182731,2.177095,2.481117,2.54982,2.819928,2.673439,2.699471,2.196446,2.338917,1.827041,1.965371,2.009504,1.844235,2.128466,1.3767,1.949363,1.689888,1.634193,1.838918,1.904305,2.223355,2.017994,2.173169,1.753704,0.3294398,0.4448776,0.1728747,0.2410085,0.4928786,0.4584244,0.2603836,0.3121499,0.3107007,0.3073014,0.2278499,0.1637418,0.3040816,0.2692021,0.1979489,0.1974884,0.8439737,0.6354635,0.66796,0.7154519,0.6898225,0.770525,0.5309774,0.7696212,0.6282696,0.6232409,0.7087154,0.7293002,0.8143421,0.7660754,0.7825285,0.6357474,0.8028129,0.8403009,0.8646313,0.8162435,0.7679499,0.7995135,0.7405193,0.7198625,0.7743455,0.7507764,0.7408614,0.7461707,0.7886719,0.7545042,0.8048461,0.7986692,0.06583196,0.1869197,0.4403937,0.00218455,0.1428758,0.1973575,0.1823486,0.008756274,0.0494995,0,0,0,0,0,0.005431727,0,0.05587764,0.1063843,0.002197266,0.009399418,0.0222168,0,0.09738196,0.001342773,0,0,0,0.03170773,0.1197511,0.03134154,0,0.04272462,31.29573,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,34.93975,36.57878,0,28.27428,35.06982,33.64738,33.25153,142,59,105,210,214,134,268,108,100,246,135,149,182,75,180,3,201,57,131,221,215,226,277,161,114,279,155,145,206,91,192,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00502,9.622531,8.176477,15.80058,11.62845,8.698565,18.06206,15.08087,11.58691,8.477166,9.986813,13.76109,21.93509,14.18204,7.323013,7.488331,17.13892,11.10647,9.869679,17.5326,13.47505,10.48898,19.85069,16.89354,13.59293,9.804038,11.77258,15.52831,23.61509,15.58441,8.954919,9.284704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:18:25,0,0,0,0,0,2.791269,2.169188,2.334605,2.296738,2.933935,2.822861,1.815515,2.609901,2.331414,2.003894,2.593444,2.477631,2.431003,2.383458,2.418522,2.184239,2.24132,1.80656,2.045579,1.888697,2.230284,2.197026,1.347582,1.87135,1.766231,1.474302,1.943775,1.820509,1.885863,1.767753,1.951904,1.736414,0.3335883,0.4396919,0.1803771,0.2439746,0.5354104,0.4703304,0.2793352,0.3147266,0.3241649,0.3138011,0.2351795,0.166421,0.3090791,0.2760233,0.2189145,0.2078823,0.8087575,0.6328096,0.6877852,0.6684207,0.84176,0.8132883,0.5187222,0.7413199,0.6684933,0.5716755,0.7422348,0.7066697,0.6999807,0.6809005,0.7014121,0.6317137,0.8028845,0.8333651,0.8762144,0.822451,0.7610567,0.7785956,0.7422456,0.7167544,0.7586691,0.7354419,0.7496438,0.7353585,0.7763665,0.7417474,0.8063893,0.7948323,0.08936849,0.2207028,0.5612584,0.003142657,0.1741104,0.2199291,0.2354341,0.07610736,0.0494995,0,0.01168849,0,0,0,0.006011968,0,0.05587764,0.1063843,0.002197266,0.01029796,0.0222168,0,0.09738196,0.001342773,0.0009332278,0,0,0.03170773,0.1208494,0.03134154,0.0001114909,0.04272462,31.23221,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,34.87444,36.57878,0,28.27886,35.09907,33.64738,33.24338,130,106,213,164,210,143,238,143,216,18,196,218,115,21,184,0,179,105,241,192,247,183,247,157,210,20,198,223,128,33,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08185,9.96175,9.495622,18.17317,13.8014,10.4855,21.41104,16.31585,12.83319,10.24547,12.11633,15.42687,23.30336,14.71521,9.230045,7.48928,20.42355,11.82534,11.8271,20.41625,16.23259,12.96152,23.7917,18.71575,15.41962,11.94497,14.46777,17.72669,25.5443,16.20068,11.37377,9.285704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:23:25,0,0,0,0,0,3.189041,2.356202,2.400572,2.486481,2.644154,2.620869,1.837252,2.442477,2.63099,2.062392,2.534658,2.436527,2.363753,2.390801,2.53634,2.193086,2.555815,2.004863,2.15986,2.057623,2.033828,2.025826,1.382996,1.791995,2.037137,1.5655,1.894008,1.79957,1.877967,1.830812,2.036854,1.811259,0.336729,0.4490077,0.1893892,0.2509384,0.5652776,0.4755981,0.2897324,0.316338,0.3316208,0.320334,0.248456,0.1751782,0.311959,0.2841159,0.235308,0.2213795,0.9236844,0.6901903,0.7109674,0.7244972,0.7602015,0.7541645,0.5262123,0.696465,0.7573082,0.5915597,0.7250316,0.6955607,0.6835548,0.6868215,0.7349087,0.6387724,0.8013983,0.8511732,0.9000477,0.8274092,0.7685851,0.773948,0.7524707,0.7336739,0.7750128,0.7591488,0.7474529,0.7405487,0.7944438,0.7657953,0.8032032,0.8260022,0.1609942,0.2649386,0.5841125,0.05261363,0.2453839,0.258638,0.2885226,0.07611088,0.0494995,0,0.02726869,0,0.003414053,0,0.006011968,0,0.05587764,0.1124024,0.002197266,0.01385498,0.0222168,0,0.1135423,0.001342773,0.008483888,0,0,0.03170773,0.1208494,0.03134154,0.008264261,0.04272462,31.24585,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,34.86075,36.57878,0,28.28344,34.97895,33.64738,33.23522,172,195,125,202,214,109,211,74,235,0,240,72,123,0,206,0,173,208,157,199,204,178,211,17,222,0,290,44,105,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.11023,11.85055,10.89917,19.87715,16.09161,11.89081,24.10837,16.58451,14.69105,10.25215,14.27124,16.99811,24.76474,15.1146,11.5779,7.48928,24.73235,14.23496,13.89215,22.69864,19.15843,14.92132,27.09645,19.31785,17.95956,11.95342,17.12697,19.78905,27.36996,16.66621,14.3587,9.285704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:28:25,0,0,0,0,0,3.03997,2.155598,1.850344,2.283255,2.804611,2.424901,2.104589,2.432427,2.02057,2.162012,2.40343,2.30777,2.263442,2.494879,2.443007,2.438774,2.458891,1.844938,1.68606,1.965379,2.174989,1.920773,1.604958,1.890636,1.557368,1.641656,1.75326,1.731304,1.765361,1.898191,1.93467,1.966275,0.3553856,0.4498445,0.202331,0.2686877,0.5853129,0.490781,0.3124616,0.3257778,0.3423701,0.3355446,0.2627168,0.183811,0.3239632,0.298943,0.2361037,0.2388507,0.8820032,0.6321428,0.5494193,0.670321,0.8075106,0.7008547,0.6041561,0.7006342,0.581131,0.6201695,0.6846614,0.6605847,0.6523628,0.715903,0.7060581,0.7071545,0.8090796,0.8558676,0.9113026,0.8610494,0.775061,0.792411,0.7626809,0.7773457,0.7704159,0.7591682,0.7286541,0.7498623,0.7791991,0.7603135,0.7908559,0.8045278,0.2326199,0.2703853,0.5841125,0.1077406,0.308502,0.258638,0.3382672,0.07611088,0.0494995,0,0.02798463,0,0.00680542,0,0.006011968,0,0.05587764,0.1594849,0.002197266,0.01385498,0.0222168,0,0.1265875,0.001342773,0.008483888,0,0,0.03170773,0.1208494,0.03134154,0.008361815,0.04272462,31.25837,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,34.84864,36.57878,0,28.28802,34.70848,33.64738,33.22707,141,73,75,142,257,99,262,112,193,0,177,189,117,0,171,0,159,82,85,179,330,91,233,80,148,0,237,205,56,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.97005,12.83559,11.21004,21.78281,18.08371,13.4321,26.34034,16.6557,16.26841,10.25215,17.87162,17.88222,25.38951,15.1146,13.44632,7.496455,27.97903,15.68005,14.58686,25.20565,21.85196,16.96045,29.86659,19.78431,20.29635,11.95342,21.36192,21.12392,28.46662,16.66621,16.8477,9.292879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:33:25,0,0,0,0,0,2.519274,2.074069,1.828842,2.424635,2.912688,2.769849,2.113674,2.467186,1.830081,1.935436,1.932884,2.00492,1.999019,2.239165,2.153355,1.954969,2.080395,1.765005,1.65109,2.188229,2.273681,2.25624,1.633062,1.885783,1.598472,1.63158,1.629747,1.697132,1.806451,1.930273,1.954499,1.760552,0.3661706,0.4597814,0.2129041,0.2878011,0.5867405,0.5086455,0.3302439,0.3368035,0.3247168,0.3176279,0.2526776,0.1690624,0.305454,0.282062,0.2118564,0.219206,0.7337624,0.6075601,0.5420143,0.7185403,0.8396156,0.8046826,0.6081694,0.7085313,0.5388156,0.5659249,0.5651997,0.5867051,0.5925641,0.6575659,0.6388829,0.5791022,0.8261002,0.8509245,0.9029409,0.9022295,0.7806255,0.8140992,0.7725402,0.7647795,0.8843615,0.8559545,0.8464915,0.8516341,0.9131467,0.8723285,0.9273677,0.9359121,0.2506078,0.2703853,0.5885395,0.1322961,0.308502,0.258638,0.3493105,0.07611088,0.0494995,0,0.02798463,0,0.008055003,0,0.05924897,0,0.05587764,0.1624767,0.03009384,0.05481805,0.0222168,0,0.1265875,0.001342773,0.008483888,0,0,0.03170773,0.1208494,0.03134154,0.01889893,0.04272462,31.06709,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,34.83654,36.57878,0,28.2926,34.438,33.64738,33.21891,0,128,190,201,266,130,193,67,118,0,244,117,209,0,121,0,5,146,197,233,275,155,200,70,150,0,232,101,219,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.08539,13.66309,12.12032,24.45101,20.57132,14.62455,28.85721,17.04851,16.90643,10.25215,19.87568,19.26783,26.54999,15.1146,14.20385,7.50678,29.19413,17.02215,16.04208,28.43428,25.20218,18.4382,32.90457,20.68712,21.57187,11.95342,23.90877,23.18262,30.16805,16.66621,18.24698,9.303204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:38:25,0,0,0,0,0,2.524044,2.30845,1.901487,2.321256,2.369069,2.667023,2.047162,2.323146,2.402006,1.974056,2.028074,1.972061,2.532243,2.383549,2.374135,2.054038,2.141305,1.966915,1.713256,2.099818,1.834821,2.137968,1.549303,1.747743,1.946583,1.618558,1.616516,1.582101,2.101859,1.878369,1.965051,1.720853,0.3827553,0.4679624,0.2223231,0.3008097,0.590147,0.5326399,0.3453248,0.3501365,0.3656671,0.3366769,0.2730561,0.1873733,0.328791,0.309357,0.2366066,0.2476169,0.7389325,0.6763806,0.5633174,0.6882282,0.6819487,0.7725197,0.5868835,0.6653113,0.6971535,0.5741929,0.5868304,0.5713018,0.7382535,0.6882627,0.6917889,0.5998937,0.8487757,0.8516311,0.9014108,0.9045933,0.7743847,0.8016203,0.7572685,0.752283,0.8284318,0.8313323,0.8022367,0.8086086,0.8324047,0.7879055,0.8292274,0.8439483,0.2577389,0.2703853,0.6236277,0.1543747,0.308502,0.258638,0.3493105,0.07611088,0.0494995,0,0.02798463,0,0.02499228,0,0.07028199,0,0.05587764,0.164673,0.03964233,0.06716917,0.0222168,0,0.1265875,0.001342773,0.008483888,0,0,0.03170773,0.1208494,0.03134154,0.02105713,0.04272462,30.82595,31.42902,32.76553,31.31555,40.39046,42.32231,39.23279,41.43312,32.65952,34.82444,36.57878,0,28.29718,34.16753,33.64738,33.21075,158,150,126,161,70,12,103,49,194,0,188,96,189,0,21,0,190,128,80,215,95,55,115,41,208,0,176,106,182,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.45892,14.5485,12.90127,26.00856,21.53082,15.50279,30.4598,17.11077,18.41352,10.25215,21.91178,19.68184,29.52876,15.1146,14.23365,7.50678,30.82397,18.49004,17.21329,30.68427,26.78894,19.51775,35.07415,21.03942,23.71811,11.95342,26.4994,24.06965,33.6762,16.66621,18.51107,9.303204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 11:43:25,0,0,0,0,0,2.581419,2.042121,2.084099,2.093316,2.276024,2.206214,2.098195,2.041589,2.304474,2.065195,2.53728,2.014476,2.837992,2.22968,2.120775,2.107639,2.135798,1.736202,1.889186,1.886417,1.782862,1.740194,1.624247,1.489758,1.739108,1.557373,1.88785,1.477177,2.206015,1.679721,1.737324,1.669252,0.3937253,0.4773667,0.2355826,0.313243,0.6047114,0.5595165,0.3703908,0.3620551,0.393039,0.3529293,0.3003164,0.2067962,0.3538179,0.3291651,0.2587436,0.2687296,0.752134,0.5980943,0.6181723,0.620168,0.6564993,0.6371606,0.6039243,0.5816144,0.6603231,0.5916832,0.725243,0.5743685,0.8174627,0.6386963,0.6167672,0.6091439,0.8270667,0.8502378,0.9065639,0.901,0.7834886,0.7875293,0.7739286,0.7294525,0.7553376,0.7537083,0.7438278,0.7332528,0.7775357,0.7535097,0.8193638,0.7922556,0.279216,0.2703853,0.6562335,0.1543878,0.308502,0.258638,0.3767487,0.07611088,0.0494995,0,0.02798463,0,0.02667231,0,0.07028199,0,0.1156816,0.164673,0.0431632,0.06716917,0.0222168,0,0.1374125,0.001342773,0.008483888,0,0,0.03170773,0.1208494,0.03134154,0.02105713,0.04272462,31.10406,31.42902,32.76553,31.31555,40.39046,42.32231,39.23274,41.43312,32.65952,34.81233,36.57878,0,28.30176,33.89705,33.64738,33.20259,90,108,228,60,16,18,180,1,164,0,160,103,212,0,50,0,106,133,208,81,55,75,199,2,133,0,263,103,218,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.62018,15.39884,14.02875,26.83252,21.63853,15.9524,31.81071,17.13121,19.70967,10.25215,24.11759,20.09768,30.92682,15.1146,14.23365,7.50678,34.26549,19.96442,18.9369,31.92827,27.21862,20.18696,36.87942,21.14812,25.76665,11.95342,29.29465,24.9759,35.65018,16.66621,18.6663,9.303204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
