Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
03/20/2022 12:00:01,0,0,0,0,0,2.360421,2.085562,1.776576,2.036655,2.369596,2.428337,1.598395,2.198541,1.871527,2.023602,2.182774,1.996704,2.022453,2.067723,2.086012,2.05324,1.989932,1.7688,1.60212,1.718002,1.83668,1.902236,1.221733,1.609026,1.451281,1.532862,1.647753,1.490303,1.592889,1.574461,1.736491,1.666003,0.4008747,0.4846054,0.2636679,0.3334927,0.5877253,0.5320203,0.3526258,0.3658115,0.3926122,0.3523374,0.322586,0.2256116,0.3715524,0.3456779,0.2719716,0.2910698,0.6901971,0.6105297,0.5264059,0.5955941,0.6821969,0.7004369,0.4590308,0.6266419,0.5388482,0.5802217,0.6254836,0.5710372,0.5839333,0.5934151,0.6084919,0.5960652,0.8433851,0.847796,0.9009252,0.8372569,0.7732991,0.782234,0.7609076,0.7298924,0.7762931,0.7592455,0.7567168,0.7469817,0.7861173,0.7607375,0.8318591,0.8138369,0.1573095,0.076019,0.06464914,0.05027777,0,0.1071105,0.06691938,0.009788195,0,0.01067169,0,0.005239874,0.01787746,0,0.06240072,0.006082325,0.115473,0.004927147,0.06994905,0.05148523,0,0,0.03299835,0,0,0,0,0,0,0,0.02509226,0,31.34758,31.4175,32.7701,32.1992,39.08807,42.65762,38.96608,25.29703,33.14748,34.63508,36.51361,15.86967,31.15523,34.2262,37.06836,33.96237,592,729,758,848,726,500,1832,348,704,551,1308,878,958,103,749,331,785,842,728,1160,755,668,1640,426,672,604,1331,788,824,116,692,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.973885,2.788584,3.130248,6.280558,2.948445,4.235668,8.923498,0.3990308,3.013138,2.818096,8.518598,1.926111,6.087053,0.9427994,1.017056,0.3533903,8.147948,5.223425,5.283348,8.93656,5.363911,5.738115,12.07729,1.195883,5.491499,3.476207,11.53523,4.402816,8.443898,1.110488,2.17133,0.5183662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 13:00:01,0,0,0,0,0,1.916929,1.973691,1.608379,1.901161,1.960725,2.238971,1.312516,2.1341,2.019062,1.642631,2.011385,1.745659,2.092548,2.046486,1.75968,1.884404,1.638508,1.781296,1.483192,1.637758,1.541796,1.761847,0.979452,1.642121,1.556138,1.234073,1.486364,1.289363,1.646008,1.559802,1.428526,1.479324,0.3294706,0.4013835,0.2611873,0.3301918,0.4798454,0.4190475,0.2692951,0.3450578,0.3479103,0.2941667,0.3733156,0.2377368,0.3738025,0.3615704,0.2852201,0.3283983,0.5620083,0.5849058,0.478742,0.5582302,0.5659465,0.6463433,0.375354,0.6136004,0.5806928,0.4703095,0.5742472,0.4983406,0.6040331,0.5874205,0.510891,0.5437542,0.854422,0.9037772,0.9193339,0.8589277,0.7845308,0.7864064,0.7432479,0.7686434,0.7692397,0.7516971,0.7379752,0.7385219,0.785156,0.7605731,0.8119323,0.7838876,0.2854054,0.5279939,0.171678,0.3346254,0.205895,0.3056725,0.08902048,0.2200504,0.1699876,0.02334595,0.05272384,0.01385497,0.03490109,0,0.06964114,0.03596542,0.2007719,0.005187987,0.2489124,0.0533142,0,0.04723795,0.04394533,0.06569169,0.05271183,0,0,0,0,0.001676432,0.09255984,0.01901696,31.46873,31.4175,32.7701,32.1992,39.08807,42.65762,39.09959,25.27183,33.14748,34.46306,36.51361,15.86967,31.15523,34.76951,37.06836,33.96237,215,712,632,542,211,120,19,241,955,0,726,102,1322,254,184,992,316,693,594,615,227,164,39,317,988,0,1307,89,1204,309,188,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87739,6.979491,5.215804,10.00686,4.045859,7.263199,14.01678,3.880055,5.791261,6.420384,18.95493,3.455639,11.82873,4.482566,5.750662,7.161133,12.77446,12.80092,9.550524,15.32999,7.970964,9.886575,19.80894,6.678274,10.22074,7.925531,26.28463,7.605336,17.21085,5.346753,9.104156,11.43673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 14:00:01,0,0,0,0,0,2.3009,1.920817,1.618747,1.762921,2.078784,2.39493,1.339511,2.038536,1.590288,1.949586,1.822302,1.914805,1.788901,1.779783,1.705484,1.724815,2.122607,1.773031,1.515782,1.597676,1.689621,1.945737,1.026452,1.553845,1.163773,1.444432,1.344598,1.406905,1.376854,1.327905,1.382662,1.36981,0.3314399,0.3475318,0.2562518,0.2937035,0.419773,0.3822123,0.2366094,0.3222759,0.3415436,0.2953557,0.358026,0.2525861,0.3421887,0.333702,0.2692325,0.3105874,0.6849269,0.5718547,0.4833561,0.5228821,0.6036724,0.6954243,0.3848561,0.5851454,0.4532675,0.5568516,0.5201289,0.546137,0.5143716,0.5089672,0.4950321,0.4987504,0.924298,0.9217119,0.9353556,0.9065277,0.8105848,0.8125383,0.7632613,0.7621905,0.7311109,0.7396001,0.7360221,0.7326075,0.7654433,0.7461745,0.8096392,0.7934283,0.7221903,0.8340219,0.326364,0.5251915,0.4885632,0.6239624,0.282313,0.2633825,0.4710957,0.04263874,0.05752563,0.02196959,0.04537941,0,0.07105464,0.03958037,0.5253436,0.005187987,0.2557068,0.1457951,0,0.07646678,0.1040564,0.06881714,0.1051025,0.001473873,0,0.0120268,0,0.001953125,0.09255984,0.0222168,31.87322,31.4175,32.7701,32.1992,39.08807,42.65762,39.2374,25.21603,33.14748,34.54851,36.51361,15.86967,31.15523,34.79504,37.06836,33.96237,821,217,318,243,240,232,391,62,88,752,120,650,245,0,116,336,989,206,246,239,280,322,376,103,26,720,186,679,249,0,100,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96597,8.21088,6.970398,11.77163,5.161588,9.667255,15.99994,4.051465,11.36035,11.57106,20.81109,5.508652,16.68671,5.026068,6.33706,8.692125,27.0773,15.39015,13.41934,18.63201,9.910729,13.02202,23.18182,7.213143,18.90741,14.55824,29.21516,11.61158,24.79224,5.99271,10.09442,14.57428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 15:00:01,0,0,0,0,0,1.858474,1.866572,1.633862,1.859735,1.987613,2.292809,1.279375,2.034662,1.774932,1.587205,2.048507,1.690172,1.64889,2.199045,1.94396,1.81402,1.661848,1.769464,1.513228,1.742659,1.642321,1.885944,0.9878386,1.644737,1.346292,1.17652,1.495252,1.225333,1.287914,1.637375,1.555413,1.443551,0.2987396,0.3119861,0.240466,0.2568406,0.3805904,0.3388225,0.2147372,0.3099314,0.2984674,0.2770023,0.3186695,0.2326305,0.298226,0.3317508,0.2593739,0.2936288,0.549735,0.5587912,0.4867609,0.5553958,0.5789754,0.6673089,0.368074,0.5902611,0.5090404,0.4533843,0.5836149,0.4809711,0.4753625,0.6286425,0.562886,0.5247371,0.8943311,0.9474029,0.9266106,0.9355999,0.8251966,0.8206179,0.771931,0.8068419,0.7553244,0.7415837,0.7280968,0.7237584,0.7809936,0.7443593,0.7998943,0.7964357,0.7984248,1.106382,0.5135697,0.7644479,0.664519,0.8695446,0.3782164,0.583253,0.4710957,0.05188099,0.05980141,0.02529882,0.04537941,0,0.07187089,0.05567629,0.5735484,0.005187987,0.3389751,0.3659663,0,0.133545,0.1192017,0.06881714,0.1051025,0.002044679,0.005935755,0.01931763,0,0.001953125,0.1184653,0.0222168,31.36237,31.4175,32.7701,32.1992,39.08807,42.65762,39.37521,25.16017,33.14748,34.50165,36.51361,15.86967,31.15523,34.6931,37.06836,33.96237,40,254,203,207,87,153,115,253,593,0,570,196,165,1114,556,469,97,255,232,346,81,239,155,282,384,0,730,184,180,1283,775,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79708,9.479072,7.225508,12.37031,5.761548,11.4777,16.95195,5.347239,12.19045,14.12459,25.79815,6.704709,18.21456,9.874824,7.306203,9.859612,31.85167,17.85336,15.33409,20.47322,11.88113,15.39788,24.96545,9.413083,20.38496,17.82131,37.02224,14.37063,27.56158,12.81683,12.13526,17.27382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 16:00:01,0,0,0,0,0,2.035069,1.887286,1.684131,1.633382,2.098039,2.333996,1.340271,2.275278,1.790008,1.896667,2.018182,2.084139,1.930333,1.77756,1.68036,1.731111,1.908504,1.779864,1.588871,1.581176,1.745596,1.911771,1.089205,1.849126,1.329492,1.472181,1.527716,1.609482,1.514986,1.29806,1.285296,1.318539,0.3020292,0.326263,0.246314,0.2559475,0.3708683,0.3390311,0.2154378,0.3158927,0.3072187,0.2760951,0.3006408,0.2464838,0.2976297,0.3258167,0.2594165,0.3098107,0.6078606,0.5643793,0.5036672,0.4911564,0.6119401,0.6787617,0.3892,0.6607203,0.5114904,0.5461798,0.5785984,0.5996206,0.5569811,0.5064611,0.4826302,0.4968368,0.9375086,0.9419283,0.9429106,0.9677594,0.8308887,0.8165169,0.811012,0.8114103,0.7415177,0.7751102,0.7561678,0.7715861,0.7848539,0.7294503,0.7644296,0.7606909,1.01862,1.486778,0.6805881,1.027332,0.8920575,1.082694,0.5778707,0.6882478,0.5159902,0.2840581,0.3666748,0.3181529,0.04537941,0,0.07327247,0.1181011,0.7024758,0.006900002,0.5105354,0.4164126,0,0.133545,0.1500523,0.08329449,0.1097186,0.01983608,0.007476808,0.03409439,0,0.001953125,0.1932071,0.0222168,31.98459,31.4175,32.7701,32.1992,39.08807,42.65762,39.51303,25.10537,33.14748,34.62312,36.51361,15.86967,31.15523,34.44366,37.06836,33.96237,276,518,477,149,272,173,525,568,250,169,337,729,463,190,38,833,342,489,542,129,275,231,487,656,178,264,587,751,331,221,31,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47333,12.40099,8.307882,13.17059,6.221295,14.45464,18.3672,6.449653,14.99957,15.53539,31.86952,8.993639,20.51805,17.46982,9.731613,13.80959,34.20111,23.28093,18.36047,22.79007,13.56364,19.48466,27.47453,11.86347,25.22881,19.49998,44.72604,18.40798,31.61946,23.79022,16.70603,25.41173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 17:00:01,0,0,0,0,0,2.393855,1.972374,1.790601,1.918856,2.112392,2.409988,1.397143,2.213033,1.913493,2.031421,1.984969,1.918544,1.706002,2.100038,2.099653,1.535021,2.234557,1.875313,1.661723,1.834942,1.77598,2.025804,1.130771,1.799984,1.631009,1.777241,1.741349,1.637408,1.331942,1.585069,1.659669,1.219524,0.3954179,0.3559402,0.3073693,0.288871,0.3957117,0.3639249,0.2504954,0.3419057,0.328611,0.3146001,0.3323725,0.3043498,0.2985534,0.3428323,0.3064119,0.3224684,0.7143361,0.5908334,0.5336775,0.5754994,0.6173502,0.7042982,0.4054063,0.6427407,0.5606984,0.5982875,0.5849218,0.5623174,0.4917889,0.6017602,0.6066196,0.4438988,0.9323568,0.9502791,0.9273154,0.9564881,0.8390262,0.8371784,0.8073449,0.8126767,0.8494744,0.8740847,0.8759208,0.8640414,0.7782521,0.7551529,0.7897945,0.793638,1.473572,1.861486,0.9667021,1.178831,1.212526,1.592993,0.8098958,0.9251822,0.9244695,0.598093,0.8684217,0.7826973,0.04571694,0.01322942,0.08010326,0.1272283,0.8832932,0.07929551,0.6268568,0.4164126,0.006721085,0.133545,0.2292372,0.1538391,0.25682,0.06858615,0.2149342,0.07162476,0,0.003192986,0.2468907,0.0222168,32.05117,31.4175,32.7701,32.1992,39.08807,42.65762,39.67532,25.09165,33.14748,35.16244,36.51361,15.86967,31.15523,34.12723,37.06836,33.96237,1160,640,786,499,621,184,728,329,398,326,308,263,302,888,1154,74,1376,576,771,570,648,347,707,388,374,383,395,305,282,974,1285,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.96934,14.49773,13.3008,14.44386,9.421815,17.51407,22.34643,8.781659,17.04375,18.56378,37.44878,12.21961,20.98647,23.42931,12.55777,14.38551,50.82271,27.1834,26.7297,25.87877,18.4022,23.80217,33.88698,16.84921,28.85498,23.09251,52.00135,24.04565,32.76514,31.55958,21.48725,27.16211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 18:00:01,0,0,0,0,0,2.006817,1.945678,1.682896,1.890343,2.07724,2.470517,1.307961,2.247166,2.009747,1.980268,2.028704,1.879935,2.071069,1.753797,1.547403,1.843542,1.917072,1.895649,1.637612,1.832432,1.789944,2.143104,1.134837,1.891253,1.859804,1.836503,1.881794,1.699839,1.598507,1.355251,1.232105,1.498922,0.393361,0.400002,0.310747,0.3136532,0.3644792,0.3881085,0.2583402,0.3547762,0.3246275,0.3260783,0.3335957,0.306245,0.3546219,0.3201923,0.3267021,0.3220087,0.6017488,0.5858702,0.5066094,0.5685907,0.609965,0.7263948,0.3845882,0.6568685,0.5986414,0.5901244,0.6045833,0.5573308,0.595802,0.5046372,0.4476614,0.5353923,0.9725621,0.9879585,0.9911603,0.9726406,0.8653564,0.8778955,0.9008583,0.8594493,1.09612,1.087692,0.9956328,0.9565473,0.9489469,0.8640545,0.538032,1.139288,1.973001,2.326129,1.36701,1.438857,1.504473,2.059567,1.241394,1.378893,1.306814,1.297668,1.450813,1.251568,0.08462781,0.02288815,0.09320063,0.180466,1.072223,0.1646231,0.7355779,0.4164126,0.08806047,0.3046215,0.3458625,0.2215996,0.4559785,0.2406006,0.4858019,0.09978827,0.05008922,0.05127081,0.3182679,0.05202528,32.5909,31.4175,32.7701,32.1992,39.08807,42.70994,39.97222,25.09903,33.14748,35.73399,36.51361,15.86967,31.17834,33.80754,37.06836,33.96237,312,1108,494,308,357,602,309,817,787,816,760,351,1719,102,208,1244,395,1146,413,461,307,1049,308,1034,712,922,929,385,1674,152,293,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.75464,21.40363,15.5039,16.50513,11.84432,24.83108,28.71834,12.44781,20.24967,28.56398,40.1131,13.3429,31.7052,28.61494,18.64186,17.45182,62.98895,37.95716,31.26033,30.32168,23.04343,33.47876,42.84521,22.98012,34.67342,35.79079,57.17167,27.31373,48.10422,39.93436,31.33314,32.23562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 19:00:01,0,0,0,0,0,1.956094,1.905892,1.668053,1.973558,2.056342,2.192505,1.393634,1.959637,1.950674,1.976455,2.025961,2.148731,1.571486,1.949976,1.546673,1.610078,1.873921,1.839485,1.564803,1.93137,1.74477,1.873362,1.19732,1.625342,1.788552,1.792973,1.852488,1.880283,1.179757,1.45491,1.192523,1.116036,0.375888,0.394539,0.3348656,0.3136834,0.3540162,0.3957498,0.2644414,0.3724135,0.3268429,0.3168122,0.3514384,0.3281784,0.3558609,0.3069874,0.2886559,0.3284236,0.5868914,0.5727354,0.4982681,0.5948333,0.6020255,0.642756,0.4089927,0.5712336,0.5799448,0.5863343,0.6019898,0.6328645,0.4498823,0.557639,0.4448622,0.454779,0.9629327,0.9723818,0.9517497,0.9808422,0.8488717,0.8544636,0.8636569,0.8325434,0.9709065,0.9807233,0.9620782,0.9317297,0.789573,0.7489492,0.7645031,0.7563626,2.336873,2.54234,1.465208,2.003768,1.650364,2.441631,1.513134,1.585324,1.758872,1.563896,1.987064,1.743199,0.1063929,0.03975028,0.09320063,0.2387106,1.20542,0.2185598,0.8588457,0.5271631,0.09747323,0.4391768,0.3836514,0.3397521,0.5650044,0.2879226,0.7038613,0.1958103,0.06884763,0.1069946,0.3182679,0.1100772,32.34921,31.36987,32.7701,32.1992,39.08807,42.85729,40.02582,25.10641,33.14748,35.41337,36.51361,15.86967,31.29102,33.6247,37.06836,33.96237,352,501,624,367,372,131,601,113,355,360,415,930,259,686,95,572,469,581,542,512,396,141,702,120,253,511,361,971,302,714,96,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.01465,24.42382,18.27508,17.22111,13.02801,29.24065,31.59812,16.44862,25.23531,31.485,45.89177,16.17809,38.73943,31.18011,18.79921,23.37392,68.22557,43.1514,37.29665,32.72103,25.95938,39.49822,47.2157,29.38025,42.20042,39.54686,65.92143,33.20792,58.38789,44.15508,31.87252,43.07227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 20:00:01,0,0,0,0,0,1.800002,1.755364,1.732937,1.789191,2.159586,2.276449,1.491166,2.315302,1.906065,1.925272,2.013268,1.821777,1.533799,1.585961,1.753092,1.508639,1.693318,1.667306,1.612838,1.748278,1.80815,1.954122,1.261252,1.993389,1.757024,1.759944,1.841354,1.675556,1.142151,1.148828,1.32492,0.9703756,0.3564533,0.4337667,0.3489014,0.3525193,0.3932214,0.3919751,0.283624,0.3897142,0.3242271,0.3246417,0.3379979,0.3380156,0.3329862,0.3094909,0.3009346,0.3211795,0.537997,0.5257158,0.5167981,0.5390878,0.6306446,0.6679648,0.4362979,0.6797576,0.5673042,0.5720397,0.5982497,0.5419673,0.4384751,0.4512525,0.5024579,0.4211268,0.9412172,0.9494278,0.9287395,0.977892,0.83588,0.8570842,0.8435405,0.868506,0.9216264,0.91457,0.9153444,0.9197223,0.7440037,0.7238222,0.7525828,0.7216395,2.476953,2.937962,1.970666,2.513783,2.022074,2.585949,1.829703,1.973889,2.332665,2.17471,2.391629,2.172261,0.1083372,0.05541959,0.1046286,0.2387106,1.231105,0.5163042,0.9678314,0.649666,0.09747323,0.4613314,0.4714372,0.4103641,0.6849997,0.4520802,0.8525175,0.2290341,0.06884763,0.1069946,0.3205501,0.1100772,32.61213,31.01844,32.84621,32.1992,39.08807,42.93858,40.13413,25.11379,33.12791,36.18486,36.51361,15.86967,31.41264,33.79538,37.06836,33.96237,44,165,411,583,479,225,430,1214,406,78,475,352,107,99,633,105,86,153,619,530,505,559,326,1607,394,84,335,318,144,93,659,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.13165,27.34016,20.75166,21.86367,15.68145,30.09962,35.43992,19.09941,27.53729,35.51423,47.78807,19.41643,40.14594,33.61282,21.50379,23.66174,70.86005,48.3881,42.3955,40.56905,30.68659,41.04103,53.56023,34.45005,46.5309,44.78559,69.87759,39.09835,60.72171,48.54277,36.95395,44.38652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/20/2022 21:00:01,0,0,0,0,0,1.934803,1.737688,1.723437,1.872066,1.918983,2.099136,1.266166,2.002248,2.204587,2.100501,2.024772,2.061803,1.94529,1.599899,1.523959,1.558864,1.789737,1.674619,1.639022,1.86399,1.619244,1.775936,1.073138,1.669746,2.05078,1.910634,1.854256,1.901528,1.432608,1.177196,1.153832,1.157351,0.3598414,0.410843,0.3401569,0.3318961,0.3694394,0.4066817,0.2738187,0.418339,0.3453259,0.3352878,0.3289478,0.3425654,0.3270976,0.2896055,0.2747689,0.3064189,0.5762706,0.5220214,0.5162893,0.5663633,0.5612156,0.6142128,0.3706109,0.5842559,0.6573863,0.6234741,0.6018261,0.6137193,0.555051,0.4564308,0.4369237,0.4454108,0.9241958,0.9624595,0.9493197,0.9945008,0.8419413,0.8454121,0.8461956,0.8343389,0.9303371,0.9096004,0.9157844,0.9231483,0.7333081,0.7358806,0.7564778,0.7401244,2.633785,2.983492,2.259088,2.931119,2.349648,2.886952,2.114418,2.459378,2.818563,2.489368,2.703357,2.637679,0.1425373,0.05541959,0.1067204,0.2601183,1.231105,0.6420293,1.073484,0.7196234,0.09747323,0.5188911,0.4714372,0.5689395,0.8810682,0.5943077,0.9215775,0.2290341,0.08317327,0.1069946,0.3447022,0.1100772,32.52649,31.16046,33.10884,32.1992,39.08807,43.01735,40.22252,25.12117,33.23512,35.64006,36.54098,15.86967,31.53426,34.02118,37.06836,33.96237,216,399,658,282,109,52,284,332,1102,642,635,882,1108,43,71,262,534,481,759,358,103,57,327,299,1155,747,499,951,1198,87,54,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.39568,28.35689,22.31568,23.61993,16.7321,33.31973,36.5168,27.47151,31.85158,37.93431,49.56174,24.11746,46.76063,33.79829,22.25355,23.86232,72.83232,51.0737,45.84698,44.00771,33.2174,45.7678,55.71022,47.32957,53.52658,47.92309,73.59882,47.30513,69.98772,49.45303,38.72743,45.62164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
