Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
03/14/2022 13:28:43,0,0,0,0,0,2.220765,1.869979,2.125631,2.057829,2.1004,2.588693,1.413349,2.1966,1.913657,1.773883,1.798283,2.133444,1.69123,1.908355,1.807512,1.849682,1.754596,1.474459,1.833282,1.739508,1.518476,2.043697,0.9998285,1.598807,1.405709,1.338876,1.331432,1.614876,1.268742,1.430918,1.342926,1.381846,0.2145858,0.2346151,0.2651445,0.2493334,0.2327284,0.3319744,0.1843186,0.2419053,0.2327696,0.2027174,0.2526126,0.3129869,0.2403518,0.2041379,0.2524038,0.2647225,0.641557,0.5400203,0.6242833,0.6020281,0.5974268,0.7477421,0.4005491,0.6255049,0.5457862,0.5083002,0.5135758,0.6116374,0.484102,0.5462054,0.5165209,0.5290751,0.7914063,0.7865979,0.8626666,0.8454029,0.7212777,0.7888917,0.7051163,0.7242266,0.7346063,0.7546732,0.7406201,0.7572877,0.7501146,0.7499188,0.742698,0.7452529,0.09968852,0,0.03903047,0.0005026586,0,0.04692918,0,0.01308814,0,0,0,0,0,0,0,0,0.08525383,0,0.05768392,0.01832851,0,0,0,0,0,0,0,0,0,0,0,0,31.02896,29.54602,34.19145,31.24785,41.78777,40.997,38.76884,40.28378,33.2813,36.17889,36.17453,15.8264,29.45622,35.58598,34.85138,34.20404,604,216,798,345,88,622,31,188,173,0,59,499,36,309,149,396,808,203,750,390,98,488,128,236,205,0,132,324,37,136,109,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55722,0.4706444,2.035019,3.810674,0.5564643,2.759837,0.02768973,1.209357,0.1876714,0.04710416,0.0436534,0.3218592,0.6088861,2.607543,5.148347,1.372274,4.793242,1.175777,3.817969,4.607074,0.9750352,4.301844,0.2264595,1.918723,0.9011554,0.04710416,0.3521851,1.342192,0.72515,3.318795,5.389373,2.511381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 13:58:43,0,0,0,0,0,1.819227,1.611032,1.7792,1.67315,1.968369,2.193513,1.678775,1.98647,1.918392,1.769262,1.66492,1.954102,1.653845,1.468845,1.728231,1.521561,1.535071,1.246328,1.512029,1.325091,1.400019,1.684094,1.213286,1.467153,1.389259,1.305152,1.225755,1.437207,1.254658,1.062688,1.296094,1.14777,0.2658673,0.2503619,0.3510722,0.2740825,0.2626925,0.3507413,0.2385606,0.2718333,0.247736,0.2213112,0.2604047,0.3335292,0.2550709,0.2203458,0.2682213,0.2799096,0.5320418,0.4636509,0.5210478,0.4835661,0.5583457,0.6304346,0.4774767,0.567081,0.5458142,0.5049696,0.4750282,0.5574401,0.4743274,0.417843,0.4946663,0.4359543,0.8426228,0.7737306,0.8485087,0.7909215,0.7107987,0.7672681,0.722396,0.7352141,0.7249952,0.7377226,0.7360994,0.7335085,0.7584788,0.7224523,0.7500625,0.753731,0.1457518,0.003085337,0.06936677,0.002075196,0,0.05773925,0,0.01345825,0,0,0,0,0,0,0,0,0.2219079,0,0.1399566,0.02331542,0,0,0,0,0,0,0,0,0,0,0,0,31.26928,29.69156,33.99821,31.12585,41.77678,41.06606,38.76884,40.28378,33.2813,36.17889,36.17453,15.8264,29.45622,35.58598,34.85138,34.20404,27,57,440,1,0,40,88,18,39,0,71,23,30,103,70,36,36,77,484,2,0,27,74,46,65,0,114,34,39,11,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33443,0.5393602,4.429727,4.847118,0.6042656,3.457496,0.04636267,1.276185,0.3181835,0.0475,0.3188244,0.7516541,1.809606,3.805413,7.932101,1.826656,10.83694,1.787882,9.488179,5.871863,1.044159,5.999922,0.7094765,2.356211,1.561031,0.0475,1.114258,2.993239,2.1848,4.86577,8.39202,3.62931,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 14:28:43,0,0,0,0,0,1.553671,1.748141,1.527858,1.635134,1.856114,1.979313,1.479033,1.971493,1.66371,1.622093,1.701748,1.566101,1.714578,1.477684,1.763576,1.575402,1.301358,1.477834,1.266657,1.262102,1.343728,1.498921,1.084537,1.439851,1.198942,1.222689,1.273647,1.179407,1.326317,1.117611,1.344264,1.213447,0.2764705,0.2732356,0.370788,0.2819988,0.283747,0.3311647,0.25747,0.2819089,0.2623128,0.2318159,0.2785127,0.3333783,0.2714233,0.2300665,0.2859068,0.2914621,0.4537391,0.5114345,0.4453325,0.4703969,0.5280666,0.5674968,0.4217021,0.5617277,0.4729628,0.4646978,0.4869147,0.4485857,0.4934435,0.4235778,0.5062205,0.4530439,0.8371645,0.8484671,0.8280547,0.7716844,0.7235699,0.7559502,0.7330987,0.728822,0.7194119,0.7537871,0.7471051,0.7536063,0.7734637,0.7522572,0.7600783,0.7683498,0.1457518,0.2889302,0.06936677,0.002075196,0,0.05773925,0,0.01345825,0,0,0,0,0,0.07478762,0,0,0.2241519,0.08387695,0.1467287,0.02331542,0,0,0,0,0,0,0,0,0,0,0,0,31.31632,29.83718,33.80225,30.98425,41.76574,41.13546,38.76884,40.28378,33.2813,36.17889,36.17453,15.8264,29.45622,35.58598,34.85138,34.20404,0,121,20,0,0,44,27,105,89,0,80,106,26,269,150,135,0,171,33,0,0,19,60,149,86,0,93,154,33,174,79,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34483,1.129936,4.74374,4.848001,0.6042656,3.497803,0.08093199,1.29935,0.5398846,0.0475,0.8815038,0.8707608,1.89745,4.747039,8.720487,1.870281,10.84882,3.192667,10.93474,5.87288,1.044159,6.278982,1.204856,2.598033,2.180029,0.0475,2.092614,3.400522,2.499059,6.157609,9.317664,4.251944,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 14:58:43,0,0,0,0,0,1.603503,1.748155,1.96255,2.074186,1.980544,2.338906,1.688118,2.200805,1.980425,1.841259,2.007318,1.901538,1.666698,1.981848,2.192796,1.653529,1.334134,1.571863,1.734316,1.735274,1.429279,1.841396,1.257848,1.685723,1.440178,1.410736,1.526564,1.404185,1.289597,1.512665,1.69322,1.272373,0.2579732,0.2643802,0.3556702,0.2731373,0.2704037,0.3214476,0.248156,0.2781843,0.2522098,0.2288339,0.2792568,0.3090436,0.2622696,0.2331427,0.2952858,0.2807456,0.4676973,0.5176774,0.5791538,0.6056148,0.5631664,0.6752527,0.4826432,0.632267,0.5638615,0.5290006,0.5759532,0.5428195,0.4796852,0.5690083,0.6308707,0.475428,0.8319184,0.8977537,0.8833243,0.8337459,0.7208499,0.7865078,0.7448227,0.7642239,0.7261447,0.7655066,0.754908,0.7385868,0.7710233,0.7618482,0.7716109,0.7691821,0.1457518,0.3538795,0.3592531,0.1211102,0.01491178,0.07125976,0.07443767,0.09517603,0,0,0,0,0,0.7437443,0,0,0.2241519,0.1240388,0.205147,0.04950915,0,0,0.03064046,0,0,0.001288995,0,0,0,0,0.01659566,4.798889e-05,31.36252,29.98279,33.60628,31.0088,41.7547,41.20488,38.82776,40.28378,33.2813,36.13973,36.17453,15.8264,29.45622,35.58598,34.85138,34.20404,0,140,416,446,22,333,547,365,61,208,365,38,62,413,662,174,0,240,534,630,54,350,610,249,42,211,365,37,61,326,434,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34483,1.367501,5.495968,6.843454,0.6531619,3.709123,2.097827,2.239686,0.8830916,0.7322506,1.657088,1.272598,2.27807,10.05676,15.12361,1.926646,10.84882,3.906119,13.17428,8.69964,1.122305,7.155411,4.806828,5.187615,2.941603,0.8612171,3.588333,4.386656,3.147955,13.01014,16.87382,4.830147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 15:28:43,0,0,0,0,0,2.087948,1.595432,1.599599,2.104903,2.223005,2.403659,1.569072,1.893395,1.830002,2.04511,1.952906,2.118548,2.356286,1.597287,1.443474,2.387481,1.81204,1.421941,1.470402,1.91503,1.672232,1.882943,1.153613,1.400378,1.351624,1.537101,1.448327,1.600407,1.840414,1.1949,1.052272,1.795258,0.2643394,0.260117,0.3392993,0.2938516,0.2900997,0.3533171,0.2585267,0.2744496,0.2550953,0.2437276,0.2862208,0.3175472,0.2857125,0.2324687,0.2844096,0.2981767,0.6139632,0.4716158,0.4758171,0.6248066,0.6366211,0.6933213,0.4475766,0.5406412,0.5224161,0.5855887,0.5578951,0.6071548,0.6792973,0.4569881,0.4111526,0.6836771,0.865508,0.890453,0.9193626,0.9101465,0.7518515,0.7836152,0.7333294,0.7373174,0.7371374,0.7516323,0.7413314,0.7548845,0.7805781,0.7474846,0.7310399,0.7545114,0.440768,0.5243854,0.4487916,0.4393379,0.09107242,0.2515866,0.1149291,0.101013,0,0,0,0.01805156,0.01960861,0.7437443,0,0.009511802,0.3452276,0.2239688,0.283565,0.2177431,0,0.02630415,0.04995728,0,0,0.03205179,0,0,0.00222474,0,0.03674317,0.08164104,31.41525,30.12841,33.41031,31.2489,41.72804,41.01808,39.16052,40.28378,33.2813,35.62395,36.17453,15.8264,29.45622,35.58598,34.85138,33.90839,352,10,12,298,104,551,70,70,304,372,148,550,788,12,42,918,525,22,23,699,97,570,42,65,151,478,177,415,794,20,16,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.804966,1.908828,6.330429,11.74823,1.351182,6.488817,3.526923,2.605976,0.9411428,6.102504,3.993599,2.476652,5.849862,12.14628,21.11691,5.479341,13.14661,5.290689,15.1851,16.28463,2.275313,12.32456,7.800643,6.165549,3.4984,7.892513,7.790562,6.667818,8.553802,15.85851,23.71166,10.84009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 15:58:43,0,0,0,0,0,1.824075,1.830807,1.961509,1.794547,1.982731,2.072154,1.438882,2.189217,2.505307,1.935804,2.206811,2.107936,1.633265,1.492432,1.588279,2.001129,1.628748,1.66968,1.783833,1.596012,1.459225,1.555851,1.04045,1.680339,1.879375,1.478048,1.653814,1.555689,1.232488,1.132051,1.189096,1.522201,0.2597961,0.252994,0.3215735,0.2789968,0.2746048,0.3229739,0.2402596,0.2710722,0.26811,0.2388888,0.2795798,0.303229,0.2965572,0.2210713,0.2623026,0.3157504,0.5394044,0.5437125,0.5821936,0.5302499,0.5656708,0.5932277,0.4092823,0.6291695,0.7171203,0.5558233,0.6315697,0.6016781,0.4679898,0.4280234,0.4544729,0.5742002,0.8925327,0.9110045,0.9069038,0.8885331,0.7361919,0.7495602,0.7231669,0.7657168,0.7507873,0.7627445,0.7481843,0.7339334,0.7530274,0.7580564,0.7498835,0.7611423,0.5712852,0.5260715,0.4636138,0.4759551,0.0925597,0.3454292,0.1149291,0.1385555,0.08713406,0.1260321,0.02841732,0.06079103,0.02743529,0.7437443,0,0.01907508,0.5700688,0.287059,0.3127036,0.3187645,0,0.06512453,0.04995728,0,0,0.04248047,0.01168781,0.003700697,0.003601074,0,0.03674317,0.1712344,31.65193,30.27403,33.18961,31.29658,41.66526,40.95951,39.52781,40.28378,33.3224,36.09293,36.17453,15.8264,29.45622,35.58598,34.85138,33.08477,70,162,481,102,0,28,102,493,873,267,397,317,157,102,48,929,80,253,434,136,0,36,67,369,724,384,432,326,137,21,19,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23117,2.329222,6.773916,13.15447,1.524346,8.857629,3.56045,3.412446,2.922982,7.796203,4.855761,3.919386,9.962422,12.61612,21.91194,11.23037,18.62456,6.308499,16.35853,19.26354,2.566676,16.00948,8.040315,8.22563,8.371781,10.00493,9.406147,9.708341,14.8367,16.49139,24.62087,20.2016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 16:28:43,0,0,0,0,0,2.336287,2.04034,2.186423,1.981836,2.369501,2.414218,2.289254,2.052734,2.142902,2.186596,2.04063,2.252465,2.123546,2.333733,1.851592,2.616613,2.148811,1.900677,2.036071,1.775383,1.806639,1.913233,1.809377,1.551787,1.637944,1.775937,1.649105,1.828786,1.661216,1.80723,1.433441,2.008018,0.2547828,0.2469245,0.3109675,0.2614041,0.2733031,0.312845,0.2403457,0.2611146,0.2533378,0.280945,0.2802806,0.3006049,0.2828799,0.2126102,0.2451581,0.4633823,0.6950336,0.6085878,0.6521152,0.5864395,0.6801808,0.6978281,0.6613873,0.588366,0.6154045,0.6348938,0.5919621,0.6539762,0.6123719,0.6717624,0.5329506,0.7519763,0.9187881,0.9307113,0.9327639,0.8950843,0.7613157,0.7910174,0.7845942,0.7552535,0.7637715,0.8145117,0.814802,0.8102905,0.779566,0.7748027,0.771867,0.7666566,0.7958868,0.6304401,0.6868653,0.4760779,0.1399711,0.3917232,0.2575619,0.1790458,0.253174,0.6474051,0.3735159,0.1065614,0.03878913,0.7437443,0,0.06568578,0.6434868,0.3540817,0.4535737,0.3288574,0.001196112,0.06894916,0.1915413,0,0,0.07948586,0.06088255,0.05873745,0.003601074,0.005620759,0.03674317,0.1732327,31.85269,30.41897,33.64438,31.34425,41.60255,41.49424,39.78833,40.28378,33.61042,36.09042,36.17453,15.8264,29.45622,35.42809,34.85138,32.82821,612,366,820,250,302,470,726,170,229,461,184,406,683,977,244,1100,829,360,918,347,374,624,811,114,229,685,183,414,660,852,149,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89307,3.022086,11.60687,13.29336,2.087193,9.88517,6.859913,4.373435,6.216371,18.40934,7.708354,5.783675,12.24713,20.4698,25.70763,24.60058,23.16986,8.296993,24.399,19.99063,3.364178,17.85175,13.13585,10.88595,14.26552,22.31698,13.747,13.41178,18.05912,25.70642,29.01428,36.91232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 16:58:43,0,0,0,0,0,2.091501,2.098816,1.913087,2.32706,2.269806,2.610101,1.80022,2.572357,1.897107,1.878515,2.083282,2.248154,2.168666,1.98422,1.869745,1.922735,1.929129,1.884374,1.796407,1.884727,1.736268,2.127555,1.413575,2.009105,1.549062,1.634222,1.800442,1.960148,1.647684,1.494976,1.437919,1.505263,0.2562205,0.2763866,0.3177173,0.2727051,0.2677132,0.3134173,0.2490175,0.260375,0.2329393,0.2746868,0.2694212,0.2921941,0.2980688,0.1976584,0.2191401,0.4841178,0.6225733,0.6213332,0.5715782,0.675327,0.6519371,0.7583689,0.5194848,0.7415838,0.5513856,0.5526407,0.6120903,0.661674,0.6221431,0.5683952,0.5375403,0.554539,0.9224977,0.8969222,0.9387011,0.8100375,0.7632398,0.8158062,0.7849644,0.7809415,0.8141807,0.8697596,0.8631306,0.8694687,0.7594398,0.7537522,0.7653142,0.783075,0.9370177,0.7578185,0.7282607,0.5694966,0.2527776,0.695051,0.371377,0.2859212,0.3271295,0.7091091,0.4594308,0.4007738,0.09793877,0.860114,0,0.08493741,0.7861013,0.562136,0.4998167,0.3572156,0.04182624,0.2060183,0.4520225,0.007281919,0,0.288099,0.1501177,0.2839013,0.04402254,0.01898192,0.03674317,0.1745925,31.88112,29.8703,33.76077,31.37097,41.69675,41.92441,39.74839,40.29211,33.93964,36.70374,36.17453,15.82639,29.45622,35.69226,34.85138,33.56683,541,1015,668,1113,250,1228,770,617,168,211,316,485,907,829,203,148,670,975,567,1264,271,1138,592,594,168,186,439,430,1063,755,77,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.74528,8.776913,16.60105,24.04239,6.51127,18.08695,13.0332,5.79162,6.629829,22.24539,8.707272,8.232695,23.10869,33.45157,27.41537,34.73571,36.68906,16.62112,32.56025,33.15782,9.119451,28.99277,22.72752,14.36314,15.41424,26.74371,16.1471,17.61548,31.89733,41.02864,31.03504,47.98151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 17:28:43,0,0,0,0,0,2.259232,2.065129,1.514101,2.425584,2.568406,2.487782,1.533811,2.198167,2.364821,2.162254,2.410727,2.253144,2.070987,2.265509,2.401372,1.787042,2.039005,1.840791,1.297631,2.069193,1.984199,2.074439,1.18873,1.746032,1.979649,1.922588,2.109061,1.962495,1.551355,1.698252,1.859583,1.397095,0.2728776,0.2936964,0.3142133,0.3302627,0.2711497,0.3338618,0.2275555,0.257412,0.2371951,0.2618304,0.2727134,0.2948539,0.2932003,0.2131306,0.238877,0.4579906,0.6695263,0.6104754,0.444135,0.7108653,0.7389967,0.7259206,0.441569,0.6356453,0.6905551,0.6388695,0.7099977,0.6630096,0.5926536,0.6483982,0.6912305,0.5152752,0.9027731,0.8915996,0.8561394,0.853616,0.7723151,0.8336334,0.771761,0.7922025,0.8373994,0.8890544,0.8759792,0.8723387,0.7496999,0.7497461,0.7739041,0.7823369,1.201009,1.05224,0.7460455,0.7494139,0.3051155,0.8729847,0.4059668,0.4995616,0.57384,1.040241,0.8789872,0.7477361,0.100739,1.062566,0.007288784,0.09364723,0.9985383,0.6943627,0.4998175,0.4048076,0.0852954,0.3124854,0.4781426,0.02578617,0.1878018,0.4186632,0.2372495,0.5307438,0.05438229,0.01898192,0.055941,0.1773986,32.02429,29.62307,33.65491,31.24319,41.71352,41.86854,38.97432,40.40231,34.26886,36.62466,36.70636,15.81831,29.45622,35.51858,34.68622,32.9048,770,1036,110,1198,713,751,398,293,699,494,957,475,668,1361,1417,52,886,1181,147,1177,720,772,453,366,719,510,1009,420,825,838,1191,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.80733,15.23211,17.69407,39.88297,10.82566,27.21886,15.03803,8.182006,9.26653,29.46651,16.40643,11.72805,30.96848,45.37397,39.53357,38.04555,47.63063,26.52014,34.99214,51.87479,14.67424,41.58258,26.71089,18.53964,19.80711,35.14921,26.09501,23.63958,42.98585,55.93419,44.82548,51.40844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03/14/2022 17:58:43,0,0,0,0,0,1.930807,1.898346,1.570575,2.357543,2.630517,2.280296,2.066497,2.492751,2.013314,1.70314,1.911037,1.945243,1.62494,2.265435,2.255836,1.83073,1.720956,1.700882,1.237271,1.87042,2.029673,1.843779,1.596833,2.011499,1.702262,1.513823,1.67907,1.734624,1.202028,1.698954,1.673399,1.432928,0.2897725,0.2844527,0.2980572,0.3811591,0.305656,0.3497923,0.268556,0.29302,0.2402501,0.2521869,0.2837882,0.2877201,0.2836474,0.2441663,0.2530117,0.4229697,0.5707613,0.5617535,0.4534835,0.6815856,0.7567012,0.6615519,0.5946097,0.722919,0.5890305,0.5031818,0.5633068,0.5750818,0.464,0.6484275,0.6444618,0.5279836,0.8903854,0.8959942,0.785013,0.7935984,0.7732352,0.8066291,0.7719996,0.8071815,0.8446926,0.8881221,0.8795542,0.8909066,0.7395835,0.750493,0.7426937,0.7820438,1.236011,1.126781,0.7485002,0.8307022,0.478044,0.8943897,0.562059,0.7256229,0.7427785,1.091903,0.9555681,0.9516017,0.100739,1.062566,0.02413824,0.1010197,1.090536,0.7975832,0.5354951,0.4121063,0.09451251,0.3678585,0.5811193,0.3645245,0.2573546,0.4669679,0.2785348,0.5758047,0.05438229,0.02454781,0.07747967,0.1773986,32.06356,30.3194,33.54906,30.92225,41.41877,41.75139,39.01793,41.02767,34.59808,37.04296,36.69392,15.80312,29.45622,35.25449,34.85438,33.53578,189,954,214,1227,1214,206,1303,822,135,61,298,146,163,1792,1300,136,208,962,208,1403,1172,190,981,803,144,64,180,157,144,1365,1397,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.82321,23.40008,18.17439,59.34064,20.23061,30.02509,25.19314,14.75241,11.69683,32.3078,29.32241,12.68221,34.896,59.39116,63.23945,39.80415,59.38671,38.32727,36.49156,74.04835,27.09773,46.80871,39.78316,27.87226,24.29462,38.33585,41.56459,25.88395,49.0188,72.91167,71.38378,53.2717,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
